pkg_name,fun_name,exported,is_s3_dispatch,is_s3_method,params
abind,abind,TRUE,FALSE,FALSE,...;along;rev.along;new.names;force.array;make.names;use.anon.names;use.first.dimnames;hier.names;use.dnns
abind,acorn,TRUE,TRUE,FALSE,x;n;m;r;...
abind,acorn.default,FALSE,FALSE,TRUE,x;n;m;r;...;addrownums
abind,adrop,TRUE,TRUE,FALSE,x;drop;named.vector;one.d.array;...
abind,adrop.default,FALSE,FALSE,TRUE,x;drop;named.vector;one.d.array;...
abind,afill<-,TRUE,TRUE,FALSE,x;...;excess.ok;local;value
abind,afill<-.default,FALSE,FALSE,TRUE,x;...;excess.ok;local;value
abind,asub,TRUE,TRUE,FALSE,x;idx;dims;drop;...
abind,asub.default,FALSE,FALSE,TRUE,x;idx;dims;drop;...
ADGofTest,ad.test,TRUE,FALSE,FALSE,x;distr.fun;...
ADGofTest,ad.test.pvalue,FALSE,FALSE,FALSE,x;n
ADGofTest,ad.test.statistic,FALSE,FALSE,FALSE,x
agricolae,AMMI,TRUE,FALSE,FALSE,ENV;GEN;REP;Y;MSE;console;PC
agricolae,AMMI.contour,TRUE,FALSE,FALSE,model;distance;shape;...
agricolae,audpc,TRUE,FALSE,FALSE,evaluation;dates;type
agricolae,audps,TRUE,FALSE,FALSE,evaluation;dates;type
agricolae,bar.err,TRUE,FALSE,FALSE,x;variation;horiz;bar;...
agricolae,bar.group,TRUE,FALSE,FALSE,x;horiz;...
agricolae,BIB.test,TRUE,FALSE,FALSE,block;trt;y;test;alpha;group;console
agricolae,carolina,TRUE,FALSE,FALSE,model;data
agricolae,consensus,TRUE,FALSE,FALSE,data;distance;method;nboot;duplicate;cex.text;col.text;...
agricolae,correl,TRUE,FALSE,FALSE,x;y;method;alternative
agricolae,correlation,TRUE,FALSE,FALSE,x;y;method;alternative
agricolae,cv.model,TRUE,FALSE,FALSE,x
agricolae,cv.similarity,TRUE,FALSE,FALSE,A
agricolae,DAU.test,TRUE,FALSE,FALSE,block;trt;y;method;alpha;group;console
agricolae,delete.na,TRUE,FALSE,FALSE,x;alternative
agricolae,design.ab,TRUE,FALSE,FALSE,trt;r;serie;design;seed;kinds;first;randomization
agricolae,design.alpha,TRUE,FALSE,FALSE,trt;k;r;serie;seed;kinds;randomization
agricolae,design.bib,TRUE,FALSE,FALSE,trt;k;r;serie;seed;kinds;maxRep;randomization
agricolae,design.crd,TRUE,FALSE,FALSE,trt;r;serie;seed;kinds;randomization
agricolae,design.cyclic,TRUE,FALSE,FALSE,trt;k;r;serie;rowcol;seed;kinds;randomization
agricolae,design.dau,TRUE,FALSE,FALSE,trt1;trt2;r;serie;seed;kinds;name;randomization
agricolae,design.graeco,TRUE,FALSE,FALSE,trt1;trt2;serie;seed;kinds;randomization
agricolae,design.lattice,TRUE,FALSE,FALSE,trt;r;serie;seed;kinds;randomization
agricolae,design.lsd,TRUE,FALSE,FALSE,trt;serie;seed;kinds;first;randomization
agricolae,design.mat,TRUE,FALSE,FALSE,book;locations
agricolae,design.rcbd,TRUE,FALSE,FALSE,trt;r;serie;seed;kinds;first;continue;randomization
agricolae,design.split,TRUE,FALSE,FALSE,trt1;trt2;r;design;serie;seed;kinds;first;randomization
agricolae,design.strip,TRUE,FALSE,FALSE,trt1;trt2;r;serie;seed;kinds;randomization
agricolae,design.youden,TRUE,FALSE,FALSE,trt;r;serie;seed;kinds;first;randomization
agricolae,diffograph,TRUE,FALSE,FALSE,x;main;color1;color2;color3;cex.axis;las;pch;bty;cex;lwd;xlab;ylab;...
agricolae,duncan.test,TRUE,FALSE,FALSE,y;trt;DFerror;MSerror;alpha;group;main;console
agricolae,durbin.test,TRUE,FALSE,FALSE,judge;trt;evaluation;alpha;group;main;console
agricolae,friedman,TRUE,FALSE,FALSE,judge;trt;evaluation;alpha;group;main;console
agricolae,graph.freq,TRUE,FALSE,FALSE,x;breaks;counts;frequency;plot;nclass;xlab;ylab;axes;las;...
agricolae,hcut,TRUE,FALSE,FALSE,consensus;h;group;col.text;cex.text;...
agricolae,hgroups,TRUE,FALSE,FALSE,hmerge
agricolae,HSD.test,TRUE,FALSE,FALSE,y;trt;DFerror;MSerror;alpha;group;main;unbalanced;console
agricolae,index.AMMI,TRUE,FALSE,FALSE,model
agricolae,index.bio,TRUE,FALSE,FALSE,data;method;level;nboot;console
agricolae,index.smith,TRUE,FALSE,FALSE,data;PLOT;...
agricolae,intervals.freq,TRUE,FALSE,FALSE,x
agricolae,join.freq,TRUE,FALSE,FALSE,histogram;join
agricolae,kendall,TRUE,FALSE,FALSE,data1;data2
agricolae,kruskal,TRUE,FALSE,FALSE,y;trt;alpha;p.adj;group;main;console
agricolae,kurtosis,TRUE,FALSE,FALSE,x
agricolae,lastC,TRUE,FALSE,FALSE,x
agricolae,lateblight,TRUE,FALSE,FALSE,WS;Cultivar;ApplSys;InocDate;LGR;IniSpor;SR;IE;LP;InMicCol;MatTime;...
agricolae,lineXtester,TRUE,FALSE,FALSE,replications;lines;testers;y
agricolae,LSD.test,TRUE,FALSE,FALSE,y;trt;DFerror;MSerror;alpha;p.adj;group;main;console
agricolae,Median.test,TRUE,FALSE,FALSE,y;trt;alpha;correct;simulate.p.value;group;main;console
agricolae,montecarlo,TRUE,FALSE,FALSE,data;k;...
agricolae,nonadditivity,TRUE,FALSE,FALSE,y;factor1;factor2;df;MSerror
agricolae,normal.freq,TRUE,FALSE,FALSE,histogram;frequency;...
agricolae,ogive.freq,TRUE,FALSE,FALSE,histogram;type;xlab;ylab;axes;las;...
agricolae,order.group,TRUE,FALSE,FALSE,trt;means;N;MSerror;Tprob;std.err;parameter;snk;DFerror;alpha;sdtdif;vartau;console
agricolae,orderPvalue,TRUE,FALSE,FALSE,treatment;means;alpha;pvalue;console
agricolae,path.analysis,TRUE,FALSE,FALSE,corr.x;corr.y
agricolae,PBIB.test,TRUE,FALSE,FALSE,block;trt;replication;y;k;method;test;alpha;console;group
agricolae,plot.AMMI,TRUE,FALSE,TRUE,x;first;second;third;type;number;gcol;ecol;angle;lwd;length;xlab;ylab;xlim;ylim;...
agricolae,plot.graph.freq,TRUE,FALSE,TRUE,x;breaks;counts;frequency;plot;nclass;xlab;ylab;axes;las;...
agricolae,plot.group,TRUE,FALSE,TRUE,x;variation;horiz;col;xlim;ylim;main;cex;hy;...
agricolae,polygon.freq,TRUE,FALSE,FALSE,histogram;frequency;...
agricolae,reg.homog,TRUE,FALSE,FALSE,trt;x;y
agricolae,REGW.test,TRUE,FALSE,FALSE,y;trt;DFerror;MSerror;alpha;group;main;console
agricolae,resampling.cv,TRUE,FALSE,FALSE,A;size;npoints
agricolae,resampling.model,TRUE,FALSE,FALSE,model;data;k;console
agricolae,scheffe.test,TRUE,FALSE,FALSE,y;trt;DFerror;MSerror;Fc;alpha;group;main;console
agricolae,similarity,TRUE,FALSE,FALSE,A
agricolae,simulation.model,TRUE,FALSE,FALSE,model;file;categorical;k;console
agricolae,skewness,TRUE,FALSE,FALSE,x
agricolae,SNK.test,TRUE,FALSE,FALSE,y;trt;DFerror;MSerror;alpha;group;main;console
agricolae,sp.plot,TRUE,FALSE,FALSE,block;pplot;splot;Y
agricolae,ssp.plot,TRUE,FALSE,FALSE,block;pplot;splot;ssplot;Y
agricolae,stability.nonpar,TRUE,FALSE,FALSE,data;variable;ranking;console
agricolae,stability.par,TRUE,FALSE,FALSE,data;rep;MSerror;alpha;main;cova;name.cov;file.cov;console
agricolae,stat.freq,TRUE,FALSE,FALSE,histogram
agricolae,strip.plot,TRUE,FALSE,FALSE,BLOCK;COL;ROW;Y
agricolae,sturges.freq,TRUE,FALSE,FALSE,x;k
agricolae,summary.graph.freq,TRUE,FALSE,TRUE,object;...
agricolae,table.freq,TRUE,FALSE,FALSE,object
agricolae,tapply.stat,TRUE,FALSE,FALSE,y;x;stat
agricolae,vark,TRUE,FALSE,FALSE,x;y
agricolae,waerden.test,TRUE,FALSE,FALSE,y;trt;alpha;group;main;console
agricolae,waller,TRUE,FALSE,FALSE,K;q;f;Fc
agricolae,waller.test,TRUE,FALSE,FALSE,y;trt;DFerror;MSerror;Fc;K;group;main;console
agricolae,weatherSeverity,TRUE,FALSE,FALSE,weather;severity;dates;EmergDate;EndEpidDate;NoReadingsH;RHthreshold
agricolae,zigzag,TRUE,FALSE,FALSE,outdesign
AlgDesign,actuals,TRUE,FALSE,FALSE,frmals
AlgDesign,efficient.rounding,TRUE,FALSE,FALSE,proportions;n;random
AlgDesign,eval.blockdesign,TRUE,FALSE,FALSE,frml;design;blocksizes;rho;confounding;center
AlgDesign,eval.design,TRUE,FALSE,FALSE,frml;design;confounding;variances;center;X
AlgDesign,expand.formula,TRUE,FALSE,FALSE,frml;varNames;const;numerics
AlgDesign,gen.factorial,TRUE,FALSE,FALSE,levels;nVars;center;factors;varNames
AlgDesign,gen.mixture,TRUE,FALSE,FALSE,levels;vars
AlgDesign,model.matrix.formula,FALSE,FALSE,TRUE,frml;data;...
AlgDesign,model.matrix.terms,FALSE,FALSE,TRUE,...
AlgDesign,optBlock,TRUE,FALSE,FALSE,frml;withinData;blocksizes;rows;wholeBlockData;center;nRepeats;criterion;args
AlgDesign,optFederov,TRUE,FALSE,FALSE,frml;data;nTrials;center;approximate;criterion;evaluateI;space;augment;rows;nullify;maxIteration;nRepeats;DFrac;CFrac;args
AlgDesign,optMonteCarlo,TRUE,FALSE,FALSE,frml;data;nTrials;approximate;criterion;evaluateI;space;mixtureSum;constraints;RandomStart;nRepeats;nCand;nCandNull;DFrac;CFrac;args
anytime,addFormats,TRUE,FALSE,FALSE,fmt
anytime,anydate,TRUE,TRUE,FALSE,x;tz;asUTC;useR;calcUnique
anytime,anydate.Date,FALSE,FALSE,TRUE,x;tz;asUTC;useR;calcUnique
anytime,anydate.default,FALSE,FALSE,TRUE,x;tz;asUTC;useR;calcUnique
anytime,anydate.factor,FALSE,TRUE,TRUE,x;tz;asUTC;useR;calcUnique
anytime,anydate.POSIXt,FALSE,FALSE,TRUE,x;tz;asUTC;useR;calcUnique
anytime,anytime,TRUE,TRUE,FALSE,x;tz;asUTC;useR;oldHeuristic;calcUnique
anytime,anytime_cpp,FALSE,FALSE,FALSE,x;tz;asUTC;asDate;useR;oldHeuristic
anytime,anytime.Date,FALSE,FALSE,TRUE,x;tz;asUTC;useR;oldHeuristic;calcUnique
anytime,anytime.default,FALSE,FALSE,TRUE,x;tz;asUTC;useR;oldHeuristic;calcUnique
anytime,anytime.factor,FALSE,TRUE,TRUE,x;tz;asUTC;useR;oldHeuristic;calcUnique
anytime,anytime.POSIXt,FALSE,FALSE,TRUE,x;tz;asUTC;useR;oldHeuristic;calcUnique
anytime,assertDate,TRUE,FALSE,FALSE,x
anytime,assertTime,TRUE,FALSE,FALSE,x
anytime,fmt,FALSE,FALSE,FALSE,x
anytime,getFormats,TRUE,FALSE,FALSE,
anytime,getTZ,FALSE,FALSE,FALSE,
anytime,.isDebian,FALSE,FALSE,FALSE,
anytime,.isFedora,FALSE,FALSE,FALSE,
anytime,iso8601,TRUE,TRUE,FALSE,pt
anytime,iso8601.Date,FALSE,FALSE,TRUE,pt
anytime,iso8601.default,FALSE,FALSE,TRUE,pt
anytime,iso8601.POSIXt,FALSE,FALSE,TRUE,pt
anytime,isRStudio,FALSE,FALSE,FALSE,
anytime,.isUbuntu,FALSE,FALSE,FALSE,
anytime,.onLoad,FALSE,FALSE,FALSE,libname;pkgname
anytime,removeFormats,TRUE,FALSE,FALSE,fmt
anytime,rfc2822,TRUE,TRUE,FALSE,pt
anytime,rfc2822.Date,FALSE,FALSE,TRUE,pt
anytime,rfc2822.default,FALSE,FALSE,TRUE,pt
anytime,rfc2822.POSIXt,FALSE,FALSE,TRUE,pt
anytime,rfc3339,TRUE,TRUE,FALSE,pt
anytime,rfc3339.Date,FALSE,FALSE,TRUE,pt
anytime,rfc3339.default,FALSE,FALSE,TRUE,pt
anytime,rfc3339.POSIXt,FALSE,FALSE,TRUE,pt
anytime,setDebug,FALSE,FALSE,FALSE,mode
anytime,setInitialTZ,FALSE,FALSE,FALSE,tz
anytime,setMaxIntAsDate,FALSE,FALSE,FALSE,val
anytime,setMaxIntAsYYYYMMDD,FALSE,FALSE,FALSE,val
anytime,setTZ,FALSE,FALSE,FALSE,tz
anytime,testFormat,FALSE,FALSE,FALSE,fmt;s;tz
anytime,testFormat_impl,FALSE,FALSE,FALSE,fmt;s;tz
anytime,testOutput,FALSE,FALSE,FALSE,fmt;s
anytime,testOutput_impl,FALSE,FALSE,FALSE,fmt;s
anytime,utcdate,TRUE,TRUE,FALSE,x;tz;useR;calcUnique
anytime,utcdate.Date,FALSE,FALSE,TRUE,x;tz;useR;calcUnique
anytime,utcdate.default,FALSE,FALSE,TRUE,x;tz;useR;calcUnique
anytime,utcdate.factor,FALSE,TRUE,TRUE,x;tz;useR;calcUnique
anytime,utcdate.POSIXt,FALSE,FALSE,TRUE,x;tz;useR;calcUnique
anytime,utctime,TRUE,FALSE,FALSE,x;tz;useR;oldHeuristic;calcUnique
anytime,yyyymmdd,TRUE,FALSE,FALSE,pt
aod,AIC,TRUE,FALSE,FALSE,object;...;k
aod,anova,TRUE,FALSE,FALSE,object;...
aod,betabin,TRUE,FALSE,FALSE,formula;random;data;link;phi.ini;warnings;na.action;fixpar;hessian;control;...
aod,coef,TRUE,FALSE,FALSE,object;...
aod,deviance,TRUE,FALSE,FALSE,object;...
aod,df.residual,TRUE,FALSE,FALSE,object;...
aod,donner,TRUE,FALSE,FALSE,formula;response;weights;group;data;C
aod,fitted,TRUE,FALSE,FALSE,object;...
aod,iccbin,TRUE,FALSE,FALSE,n;y;data;method;nAGQ;M
aod,invlink,TRUE,FALSE,FALSE,x;type
aod,link,TRUE,FALSE,FALSE,x;type
aod,logLik,TRUE,FALSE,FALSE,object;...
aod,negbin,TRUE,FALSE,FALSE,formula;random;data;phi.ini;warnings;na.action;fixpar;hessian;control;...
aod,predict,TRUE,FALSE,FALSE,object;...
aod,print.wald.test,TRUE,FALSE,TRUE,x;digits;...
aod,quasibin,TRUE,FALSE,FALSE,formula;data;link;phi;tol
aod,quasipois,TRUE,FALSE,FALSE,formula;data;phi;tol
aod,raoscott,TRUE,FALSE,FALSE,formula;response;weights;group;data;pooled;deff
